Finding ID,Finding,Finding type,Source PDF,Page,Extracted evidence,Dataset records,Calculation,Confidence,Notes
F-RULES-01,"The folder holds 5 reference documents, and 14 of the rules that decide a tender are printed in them",DOCUMENTED FACT,eGP_Forensic_Engine/chapter2_en.pdf,47,not less than 90 days shall be allowed to enable prospective bidders to conduct investigations at the site before submitting their bids.,no dataset row is keyed to this document,regex search of raw_pages.json over the documents in eGP_Forensic_Engine/,High. The value is printed on the page named here and was re-read by a second extractor.,
F-RULES-01,"The folder holds 5 reference documents, and 14 of the rules that decide a tender are printed in them",DOCUMENTED FACT,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,23,remain valid for at least twenty-eight (28) days beyond the expiry date of the Tender Validity in order to make a claim in due course against a T,no dataset row is keyed to this document,regex search of raw_pages.json over the documents in eGP_Forensic_Engine/,High. The value is printed on the page named here and was re-read by a second extractor.,
F-RULES-01,"The folder holds 5 reference documents, and 14 of the rules that decide a tender are printed in them",DOCUMENTED FACT,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,28,"reasonable timeline, but not less than three (3) working days, to respond against a clarification request.",no dataset row is keyed to this document,regex search of raw_pages.json over the documents in eGP_Forensic_Engine/,High. The value is printed on the page named here and was re-read by a second extractor.,
F-RULES-02,Both printed tests of whether a price is reasonable need something this archive never prints,DATA-DERIVED FINDING,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,30,"official cost estimate = 0.20 • Prices obtained from the recent Price Index = 0.30 • Prices quoted by all responsive tenderers = 0.50 The formula shall be: Thereafter, the Weighted Standard Deviation (S ) of the quoted d prices of all responsive ten",no dataset row is keyed to this document,"no column of tenders.csv, contracts.csv or bids.csv carries an official cost estimate or a quoted price","High for the arithmetic, which is given in full in the Calculation column; the inputs are printed values.",
F-RULES-02,Both printed tests of whether a price is reasonable need something this archive never prints,DATA-DERIVED FINDING,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,31,"deviation of the evaluated price of the responsive tender from the official estimate exceeds twenty percent (20%), such tender shall be deemed non-responsive.",no dataset row is keyed to this document,"no column of tenders.csv, contracts.csv or bids.csv carries an official cost estimate or a quoted price","High for the arithmetic, which is given in full in the Calculation column; the inputs are printed values.",
F-RULES-03,Nothing in the folder sets a minimum number of tenderers for an open tender,UNRESOLVED,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,30,"official cost estimate = 0.20 • Prices obtained from the recent Price Index = 0.30 • Prices quoted by all responsive tenderers = 0.50 The formula shall be: Thereafter, the Weighted Standard Deviation (S ) of the quoted d prices of all responsive ten",no dataset row is keyed to this document,"regex sweep of raw_pages.json over eGP_Forensic_Engine/ for a minimum, at-least or not-less-than phrase governing a count of tenders, tenderers, bids or quotations",Certain that the supplied documents do not answer it. Nothing here asserts what the answer would be.,
F-TIME-01,"The typical tender in this archive was open for 22 days, the shortest for 8 and the longest for 97, and every one of the 1129 that printed both dates was opened on the day it closed",DOCUMENTED FACT,Tender Notice_PDFs/COXDA_Tender_1207915.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Cox's Bazar Development Authority Procuring Entity Name : Cox's Bazar Development Authority || procuring_entity: Organization : Cox's Bazar Development Authority Procuring Entity Name : Cox's Bazar Development Authority || district: Organization : Cox's Bazar Development Authority Procuring Entity Name : Cox's Bazar Development Authority || city: Organization : Cox's Bazar Development Authority Procuring Entity Name : Cox's Bazar Development Authority || thana: Thana : Cox'S Bazar Sadar,tenders.csv tender_id=1207915 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1207915 clause 1 (2/2 recorded values found on the page); lots.csv tender_id=1207915 (5/6 recorded values found on the page),closing_date minus published_date per row of tenders.csv,High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-TIME-01,"The typical tender in this archive was open for 22 days, the shortest for 8 and the longest for 97, and every one of the 1129 that printed both dates was opened on the day it closed",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1231413.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Management Information System (MIS) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Management Information System (MIS) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Management Information System (MIS) || country: Country : Bangladesh,tenders.csv tender_id=1231413 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1231413 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1231413 clause 2 (2/2 recorded values found on the page); lots.csv tender_id=1231413 (6/6 recorded values found on the page),closing_date minus published_date per row of tenders.csv,High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-01,"The typical tender in this archive was open for 22 days, the shortest for 8 and the longest for 97, and every one of the 1129 that printed both dates was opened on the day it closed",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1305867.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Office of the Secretary || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Office of the Secretary || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Office of the Secretary || thana: Thana : Sitakunda,tenders.csv tender_id=1305867 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1305867 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1305867 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1305867 clause 3 (2/2 recorded values found on the page); lots.csv tender_id=1305867 (6/6 recorded values found on the page),closing_date minus published_date per row of tenders.csv,High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-02,"One rule in the folder can be re-run against the notices from end to end, and it holds in every case: the tender security must stay valid at least 28 days past the tender's own expiry, and all 1118 notices that print both dates do - 1110 of them by exactly 28 days",DOCUMENTED FACT,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,23,remain valid for at least twenty-eight (28) days beyond the expiry date of the Tender Validity in order to make a claim in due course against a T,no dataset row is keyed to this document,"security_valid_until minus tender_valid_until per row of tenders.csv, compared with the 28 days the quoted rule requires",High. The value is printed on the page named here and was re-read by a second extractor.,
