field,original,normalized,rule,reason,confidence
pp,A H M Mesbah Uddin,A. H. M. Mesbah Uddin,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,Md. Mostafa Jamal,Md Mostafa Jamal,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pr,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction .","Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction",same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,Lt Col Anwar Ul Islam,Lt. Col Anwar Ul Islam,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,Md. Saiful Islam,Md Saiful Islam,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,mohammad nazmus sakib jamali,MOHAMMAD NAZMUS SAKIB JAMALI,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,saber ahmed,Saber Ahmed,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
co,"Rana Builders (Pvt.) Ltd. - M/s. Shafique and Sons (JV) ( JVCA Partners [Business Share]: Rana Builders (Pvt.) Ltd. [51.000%] , M/s Shafique and Sons [49.000%] )","Rana Builders (Pvt.) Ltd. - M/s Shafique and Sons (JV) ( JVCA Partners [Business Share]: Rana Builders (Pvt.) Ltd. [51.000%] , M/s Shafique and Sons [49.000%] )",same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
pp,A A M Habibur Rahman,A. A. M. Habibur Rahman,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
tender_id,1028832 Re-Tendered ID : 1023323,1028832,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
pr,Widening and Development of Important Roads of Chattogram City Cluster Project- 1,Widening and Development of Important Roads of Chattogram City Cluster Project-1,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
tender_id,1049598 Re-Tendered ID : 1006947,1049598,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,110297 Re-Tendered ID : 99744,110297,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Rejected PURCHASE/H.W. PURCHASE/2018/84,Rejected,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
pp,A. H. M. MESBAH UDDIN,A. H. M. Mesbah Uddin,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
amendment_no,"1 It is hereby notified to all concern that the following amendment have been made to the invitation of work Tender Invitation ID No.- 133881, due to unavoidable circumstances and the amendments shall be as follows: 1. Tender Closing Date and Time will be 05/09/2018 at 01.00 P.M instead of Tender Closing Date and Time: 19/08/2018 at 01.00 P.M.",1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
status,Contract Awarded 24/11/14,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded Room/Ha:kroi:/2018/84/32,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded 5805/RE-TENDER.,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,223246 Re-Tendered ID : 133881,223246,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
amendment_no,1 Corrigendum Last Date and Time For Tender/proposal closing and openning Date and Time,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,303865 Re-Tendered ID : 281992,303865,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
