"file","column","total_rows","cells_filled","cells_empty","fill_percent","distinct_values","example_value","why_empty_cells_are_empty"
"master_tender_investigation.csv","tender_id","1155","1155","0","100.0","1155","360423",""
"master_tender_investigation.csv","tender_reference","1155","1137","18","98.4","1031","PD/Office/E-55","Not printed on 18 notices."
"master_tender_investigation.csv","app_id","1155","1150","5","99.6","326","158468","Not printed on 5 notices."
"master_tender_investigation.csv","agency","1155","1155","0","100.0","6","CDA",""
"master_tender_investigation.csv","organization","1155","1151","4","99.7","13","Chittagong Development Authority","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","ministry","1155","1151","4","99.7","7","Ministry of Housing and Public Works","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","procuring_entity","1155","1151","4","99.7","79","Project Director(M.Uddin)","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","pe_district","1155","1151","4","99.7","14","Chattogram","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","project_name","1155","1151","4","99.7","1032","Not applicable Tender/Proposal Package No. and PD/MeStKo/E-55","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","package_description","1155","1151","4","99.7","1016","Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","procurement_nature","1155","1150","5","99.6","5","Works","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","procurement_type","1155","1150","5","99.6","1","NCT","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","procurement_method","1155","1151","4","99.7","5","Open Tendering Method (OTM)","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","evaluation_type","1155","1150","5","99.6","6","Lot wise","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","budget_type","1155","1150","5","99.6","4","Own Fund","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","source_of_funds","1155","1151","4","99.7","9","Own Fund","Empty where the published document does not contain the value. The five portal refusals ('not exists or You are un-authorized') account for the smallest group."
"master_tender_investigation.csv","tender_status","1155","967","188","83.7","91","Contract Awarded","Not printed on 188 notices."
"master_tender_investigation.csv","publication_date","1155","1129","26","97.7","623","30-Sep-2019 10:00","Not printed on 26 notices."
